date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2020-11-16,7.7,6.62,6.9,6.1,,,97,92.3,91,85,5.9,5.4,5.2,4.6,20,11.5,12,4,,,102.03,101.21,101.01,99.99,102.02,101.2,100.98,99.95,32200,22250,19300,6400,2.4,1.8,1.7,1,11.1,0,1.9,0,0,20.5,20.5,0,,07:25:00,16:30:00,9.08,7.42,16.5,,,9,9,8,9,,,,,,8,7.5,6,4,,,,
2020-11-15,11.6,8,8.15,4.7,,,96,80.5,83,70,6.1,4.8,4.7,3.3,40,20.58,24.5,9,61,24,102.03,101.2,101.17,100.31,102.02,101.2,101.16,100.31,32200,27750,25750,19300,2.4,1.9,1.8,1.2,9.8,0,3.1,1.1,0,1.3,1.3,0,,07:23:00,16:31:00,9.13,7.38,16.52,,,10,10,6,7,,,,,,8,6.4,5.5,3,,,,
2020-11-14,8.1,5.03,5.19,2.3,,,94,88,86,78,4.2,3.2,2.8,1.4,31,13.88,18.5,6,45,9,101.67,101.05,101,100.33,101.63,101.02,100.97,100.3,32200,25083.3,19300,6400,2.4,1.8,1.8,1.1,12.8,0,0.2,0,0,5.6,5.6,0,,07:22:00,16:32:00,9.17,7.37,16.53,,,9,9,7,8,,,,,,8,7.3,5.5,3,,,,
2020-11-13,8.4,6.06,6.4,4.4,,,96,87.6,86,76,5.1,4.1,3.8,2.6,38,19.04,21,4,59,29,100.83,99.47,99.7,98.57,100.79,99.43,99.66,98.53,32200,24208.3,18500,4800,2.3,1.7,1.6,1,11.6,0,1.4,0,0,31.7,31.7,0,,07:20:00,16:33:00,9.22,7.33,16.55,1,1,8,8,3,3,,,,,,8,7.1,6,4,,,,
2020-11-12,6,4.46,4.59,3.2,,,96,87.7,84.5,73,4.7,2.6,3,1.3,25,15.08,15.5,6,42,8,102.03,101.09,100.91,99.79,101.99,101.04,100.87,99.75,32200,19101.2,18500,4800,2.2,1.5,1.6,1,13.4,0,0,0,0,22.8,22.8,0,,07:19:00,16:35:00,9.27,7.32,16.58,,,6,7,4,6,,,,,,8,7.9,7.5,7,,,,
2020-11-11,4.9,2.66,2.15,-0.6,,-3,96,89.9,90,84,2.8,1.1,0.6,-1.6,9,6.29,5,1,,,102.28,102.16,102.11,101.93,102.24,102.12,102.06,101.88,32200,30175,28150,24100,3,1.4,2,1,15.8,0,0,0,0,0,0,0,,07:17:00,16:36:00,9.32,7.28,16.6,1,1,6,6,3,3,,,,,,8,7,5.5,3,,,,
2020-11-10,5.8,3.55,3.5,1.2,,,95,91.9,89.5,84,3.5,2.4,1.6,-0.3,9,4.42,4.5,0,,,101.92,101.6,101.69,101.46,101.88,101.55,101.64,101.41,32190,23256.7,20925,9660,2.7,1.7,1.8,1,14.5,0,0,0,0,3.7,3.7,0,,07:15:00,16:37:00,9.37,7.25,16.62,1,1,6,6,-1,0,,,,,,8,6.8,4.5,1,,,,
2020-11-09,4.4,2.7,1.35,-1.7,,-3,94,81.5,77,60,2,-0.3,-1.1,-4.2,20,13.25,11.5,3,35,8,102.32,102,101.87,101.41,102.28,101.96,101.83,101.37,40230,23335.8,24945,9660,2.7,2,2,1.4,16.6,0,0,0,0,2.1,2.1,0,,07:14:00,16:39:00,9.42,7.23,16.65,1,1,4,4,2,2,,,,,,8,7.2,4,0,,,,
2020-11-08,8.3,3.95,2.95,-2.4,,-3,83,54.2,57.5,32,-1,-5,-4.5,-8,15,6.5,7.5,0,37,33,102.33,101.89,101.74,101.15,102.29,101.85,101.69,101.1,32190,29842.1,28165,24140,3.3,2.2,2.4,1.5,15.1,0,0,0,0,0,0,0,,07:12:00,16:40:00,9.47,7.2,16.67,2,2,9,10,-1,-1,,,,,,3,1.1,1.5,0,,,,
2020-11-07,8.7,5.87,6.4,4.1,,,88,64.6,64,40,3.5,-0.8,-1.9,-7.4,25,14.75,13.5,2,45,29,101.1,100.88,100.92,100.73,101.06,100.84,100.88,100.69,32190,32190,32190,32190,3,1.7,2,1.1,11.6,0,1.4,0,0,0,0,0,,07:11:00,16:42:00,9.52,7.18,16.7,1,1,8,8,-1,2,,,,,,8,3.6,4,0,,,,
